entity_id,input_name,matched_label,type,countries,sanctioned,pep,risk_factors,degree,source_count,entity_url
5fFhX0dMY2GliW0F5kOs4A,Russian Direct Investment Fund,АКЦИОНЕРНОЕ ОБЩЕСТВО УПРАВЛЯЮЩАЯ КОМПАНИЯ РОССИЙСКОГО ФОНДА ПРЯМЫХ ИНВЕСТИЦИЙ,company,RUS,True,False,basel_aml; controlled_by_aus_sanctioned; controlled_by_ofac_sdn; controlled_by_uk_sanctioned; controlled_by_ukr_sanctioned; cpi_score; export_controls; export_controls_other; meu_list_contractors; owner_of_export_controls_entity; owner_of_regulatory_action_entity; owner_of_sanctioned_aus_dfat_entity; owner_of_sanctioned_can_gac_entity; owner_of_sanctioned_entity; owner_of_sanctioned_gbr_fcdo_entity; owner_of_sanctioned_nzl_mfat_rus_entity; owner_of_sanctioned_ukr_nsdc_entity; owner_of_sanctioned_usa_ofac_sdn_entity; owner_of_soe; pep_adjacent; psa_owner_of_export_controls_entity; psa_owner_of_regulatory_action_entity; psa_owner_of_sanctioned_aus_dfat_entity; psa_owner_of_sanctioned_can_gac_entity; psa_owner_of_sanctioned_entity; psa_owner_of_sanctioned_gbr_fcdo_entity; psa_owner_of_sanctioned_nzl_mfat_rus_entity; psa_owner_of_sanctioned_ukr_nsdc_entity; psa_owner_of_sanctioned_usa_ofac_sdn_entity; psa_owner_of_soe; regulatory_action; sanctioned; sanctioned_aus_dfat; sanctioned_can_gac; sanctioned_ukr_nsdc; sanctioned_usa_ofac_sdn; state_owned; state_owned_rus,162,14,/v1/entity/5fFhX0dMY2GliW0F5kOs4A
OWwtbp9y51OcLHJQakLaMw,Sberbank,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",company,USA; BEL; CYP; CHN; RUS; UKR; IND; IRL; KAZ; DEU,True,False,basel_aml; controlled_by_aus_sanctioned; controlled_by_eu_sanctioned; controlled_by_ofac_sdn; controlled_by_uk_sanctioned; controlled_by_ukr_sanctioned; cpi_score; export_controls; export_controls_other; formerly_sanctioned; law_enforcement_action; meu_list_contractors; owned_by_soe; owner_of_export_controls_entity; owner_of_regulatory_action_entity; owner_of_sanctioned_aus_dfat_entity; owner_of_sanctioned_can_gac_entity; owner_of_sanctioned_che_seco_entity; owner_of_sanctioned_entity; owner_of_sanctioned_eu_ec_regulation_833_2014_entity; owner_of_sanctioned_eu_sanctions_entity; owner_of_sanctioned_fra_dgt_mefids_entity; owner_of_sanctioned_gbr_fcdo_entity; owner_of_sanctioned_nzl_mfat_rus_entity; owner_of_sanctioned_ukr_nsdc_entity; owner_of_sanctioned_usa_ofac_non_sdn_entity; owner_of_sanctioned_usa_ofac_sdn_entity; owner_of_soe; owner_of_usa_bis_entity; pep_adjacent; psa_owned_by_soe; psa_owner_of_export_controls_entity; psa_owner_of_regulatory_action_entity; psa_owner_of_sanctioned_aus_dfat_entity; psa_owner_of_sanctioned_can_gac_entity; psa_owner_of_sanctioned_che_seco_entity; psa_owner_of_sanctioned_entity; psa_owner_of_sanctioned_eu_ec_regulation_833_2014_entity; psa_owner_of_sanctioned_eu_sanctions_entity; psa_owner_of_sanctioned_fra_dgt_mefids_entity; psa_owner_of_sanctioned_gbr_fcdo_entity; psa_owner_of_sanctioned_nzl_mfat_rus_entity; psa_owner_of_sanctioned_ukr_nsdc_entity; psa_owner_of_sanctioned_usa_ofac_non_sdn_entity; psa_owner_of_sanctioned_usa_ofac_sdn_entity; psa_owner_of_soe; psa_owner_of_usa_bis_entity; regulatory_action; reputational_risk_cybercrime; reputational_risk_financial_crime; reputational_risk_other; sanctioned; sanctioned_aus_dfat; sanctioned_can_gac; sanctioned_che_seco; sanctioned_eu_dg_fisma_ec; sanctioned_eu_ec_regulation_269_2014; sanctioned_eu_ec_sanctions_map; sanctioned_eu_sanctions; sanctioned_fra_dgt_mefids; sanctioned_gbr_fcdo; sanctioned_gbr_hmt_ofsi; sanctioned_jpn_mof; sanctioned_nzl_mfat_rus; sanctioned_other; sanctioned_usa_ofac_non_sdn; sanctioned_usa_ofac_sdn; state_owned,59632,46,/v1/entity/OWwtbp9y51OcLHJQakLaMw
dy-rh2g0QtzUN_jC_e9S_A,VTB Bank,БАНК ВТБ (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО),company,USA; ITA; CHN; RUS; QAT; UKR; IND,True,False,basel_aml; controlled_by_aus_sanctioned; controlled_by_eu_sanctioned; controlled_by_jpn_sanctioned; controlled_by_ofac_sdn; controlled_by_uk_sanctioned; controlled_by_ukr_sanctioned; cpi_score; export_controls; export_controls_other; forced_labor_xinjiang_origin_subtier_product_blueprint; formerly_sanctioned; imports_bis_high_priority_items; meu_list_contractors; owned_by_entity_in_export_controls; owned_by_regulatory_action_entity; owned_by_rus_soe; owned_by_sanctioned_aus_dfat_entity; owned_by_sanctioned_can_gac_entity; owned_by_sanctioned_che_seco_entity; owned_by_sanctioned_entity; owned_by_sanctioned_eu_dg_fisma_ec_entity; owned_by_sanctioned_eu_ec_regulation_833_2014_entity; owned_by_sanctioned_eu_ec_sanctions_map_entity; owned_by_sanctioned_eu_sanctions_entity; owned_by_sanctioned_fra_dgt_mefids_entity; owned_by_sanctioned_gbr_fcdo_entity; owned_by_sanctioned_jpn_mof_entity; owned_by_sanctioned_nzl_mfat_rus_entity; owned_by_sanctioned_ukr_nsdc_entity; owned_by_sanctioned_usa_ofac_non_sdn_entity; owned_by_sanctioned_usa_ofac_sdn_entity; owned_by_soe; owned_by_usa_bis_entity; owner_of_export_controls_entity; owner_of_regulatory_action_entity; owner_of_sanctioned_aus_dfat_entity; owner_of_sanctioned_can_gac_entity; owner_of_sanctioned_che_seco_entity; owner_of_sanctioned_entity; owner_of_sanctioned_eu_sanctions_entity; owner_of_sanctioned_gbr_fcdo_entity; owner_of_sanctioned_lva_fis_entity; owner_of_sanctioned_nzl_mfat_rus_entity; owner_of_sanctioned_ukr_nsdc_entity; owner_of_sanctioned_usa_ofac_non_sdn_entity; owner_of_sanctioned_usa_ofac_sdn_entity; owner_of_soe; pep_adjacent; psa_imports_bis_high_priority_items; psa_owned_by_entity_in_export_controls; psa_owned_by_regulatory_action_entity; psa_owned_by_rus_soe; psa_owned_by_sanctioned_aus_dfat_entity; psa_owned_by_sanctioned_can_gac_entity; psa_owned_by_sanctioned_che_seco_entity; psa_owned_by_sanctioned_entity; psa_owned_by_sanctioned_eu_dg_fisma_ec_entity; psa_owned_by_sanctioned_eu_ec_regulation_833_2014_entity; psa_owned_by_sanctioned_eu_ec_sanctions_map_entity; psa_owned_by_sanctioned_eu_sanctions_entity; psa_owned_by_sanctioned_fra_dgt_mefids_entity; psa_owned_by_sanctioned_gbr_fcdo_entity; psa_owned_by_sanctioned_jpn_mof_entity; psa_owned_by_sanctioned_nzl_mfat_rus_entity; psa_owned_by_sanctioned_ukr_nsdc_entity; psa_owned_by_sanctioned_usa_ofac_non_sdn_entity; psa_owned_by_sanctioned_usa_ofac_sdn_entity; psa_owned_by_soe; psa_owned_by_usa_bis_entity; psa_owner_of_export_controls_entity; psa_owner_of_regulatory_action_entity; psa_owner_of_sanctioned_aus_dfat_entity; psa_owner_of_sanctioned_can_gac_entity; psa_owner_of_sanctioned_che_seco_entity; psa_owner_of_sanctioned_entity; psa_owner_of_sanctioned_eu_dg_fisma_ec_entity; psa_owner_of_sanctioned_eu_ec_sanctions_map_entity; psa_owner_of_sanctioned_eu_sanctions_entity; psa_owner_of_sanctioned_fra_dgt_mefids_entity; psa_owner_of_sanctioned_gbr_fcdo_entity; psa_owner_of_sanctioned_jpn_mof_entity; psa_owner_of_sanctioned_lva_fis_entity; psa_owner_of_sanctioned_nzl_mfat_rus_entity; psa_owner_of_sanctioned_ukr_nsdc_entity; psa_owner_of_sanctioned_usa_ofac_non_sdn_entity; psa_owner_of_sanctioned_usa_ofac_sdn_entity; psa_owner_of_soe; regulatory_action; reputational_risk_other; sanctioned; sanctioned_aus_dfat; sanctioned_can_gac; sanctioned_che_seco; sanctioned_eu_dg_fisma_ec; sanctioned_eu_ec_regulation_269_2014; sanctioned_eu_ec_sanctions_map; sanctioned_eu_sanctions; sanctioned_fra_dgt_mefids; sanctioned_gbr_fcdo; sanctioned_gbr_hmt_ofsi; sanctioned_jpn_mof; sanctioned_nzl_mfat_rus; sanctioned_other; sanctioned_ukr_nsdc; sanctioned_usa_ofac_non_sdn; sanctioned_usa_ofac_sdn; state_owned; state_owned_rus,15509,39,/v1/entity/dy-rh2g0QtzUN_jC_e9S_A
D-jLpScdAGFGgR4dtYnu_A,Rostec,Rostec (Russian Technologies State Corporation),company,RUS; USA; CAN,True,False,basel_aml; controlled_by_aus_sanctioned; controlled_by_eu_sanctioned; controlled_by_jpn_sanctioned; controlled_by_ofac_sdn; controlled_by_uk_sanctioned; controlled_by_ukr_sanctioned; cpi_score; esg_score_very_high; export_controls; export_controls_other; formerly_sanctioned; law_enforcement_action; meu_list_contractors; owner_of_export_controls_entity; owner_of_jpn_mofa_export_ban_entity; owner_of_regulatory_action_entity; owner_of_rus_soe; owner_of_sanctioned_aus_dfat_entity; owner_of_sanctioned_can_gac_entity; owner_of_sanctioned_che_seco_entity; owner_of_sanctioned_entity; owner_of_sanctioned_eu_dg_fisma_ec_entity; owner_of_sanctioned_eu_ec_regulation_833_2014_entity; owner_of_sanctioned_eu_ec_sanctions_map_entity; owner_of_sanctioned_eu_sanctions_entity; owner_of_sanctioned_fra_dgt_mefids_entity; owner_of_sanctioned_gbr_fcdo_entity; owner_of_sanctioned_gbr_hmt_ofsi_entity; owner_of_sanctioned_jpn_mof_entity; owner_of_sanctioned_lva_fis_entity; owner_of_sanctioned_nzl_mfat_rus_entity; owner_of_sanctioned_ukr_nsdc_entity; owner_of_sanctioned_usa_ofac_non_sdn_entity; owner_of_sanctioned_usa_ofac_sdn_entity; owner_of_soe; owner_of_usa_bis_entity; pep_adjacent; psa_owner_of_export_controls_entity; psa_owner_of_jpn_meti_end_user_entity; psa_owner_of_jpn_mofa_export_ban_entity; psa_owner_of_regulatory_action_entity; psa_owner_of_rus_soe; psa_owner_of_sanctioned_aus_dfat_entity; psa_owner_of_sanctioned_can_gac_entity; psa_owner_of_sanctioned_che_seco_entity; psa_owner_of_sanctioned_entity; psa_owner_of_sanctioned_eu_dg_fisma_ec_entity; psa_owner_of_sanctioned_eu_ec_regulation_833_2014_entity; psa_owner_of_sanctioned_eu_ec_sanctions_map_entity; psa_owner_of_sanctioned_eu_sanctions_entity; psa_owner_of_sanctioned_fra_dgt_mefids_entity; psa_owner_of_sanctioned_gbr_fcdo_entity; psa_owner_of_sanctioned_gbr_hmt_ofsi_entity; psa_owner_of_sanctioned_jpn_mof_entity; psa_owner_of_sanctioned_lva_fis_entity; psa_owner_of_sanctioned_nzl_mfat_rus_entity; psa_owner_of_sanctioned_ukr_nsdc_entity; psa_owner_of_sanctioned_usa_ofac_non_sdn_entity; psa_owner_of_sanctioned_usa_ofac_sdn_entity; psa_owner_of_soe; psa_owner_of_usa_bis_entity; regulatory_action; reputational_risk_bribery_and_corruption; sanctioned; sanctioned_can_gac; sanctioned_che_seco; sanctioned_eu_ec_regulation_833_2014; sanctioned_eu_ec_sanctions_map; sanctioned_eu_sanctions; sanctioned_gbr_fcdo; sanctioned_jpn_mof; sanctioned_nzl_mfat_rus; sanctioned_other; sanctioned_ukr_nsdc; sanctioned_usa_ofac_non_sdn; sanctioned_usa_ofac_sdn; state_owned; state_owned_rus; usa_bis,1233,29,/v1/entity/D-jLpScdAGFGgR4dtYnu_A
uKGj1Dx23piV16B7oVDwoQ,Rosneft,"ПАО ""НК ""РОСНЕФТЬ""",company,ARE; CYP; BGR; KGZ; NLD; RUS; HKG; LUX; DEU; CAN,True,False,basel_aml; chinese_soe_adjacent; controlled_by_aus_sanctioned; controlled_by_eu_sanctioned; controlled_by_jpn_sanctioned; controlled_by_ofac_sdn; controlled_by_uk_sanctioned; controlled_by_ukr_sanctioned; cpi_score; export_controls; export_controls_other; law_enforcement_action; meu_list_contractors; owned_by_entity_in_export_controls; owned_by_regulatory_action_entity; owned_by_sanctioned_entity; owned_by_sanctioned_ukr_nsdc_entity; owned_by_sanctioned_usa_ofac_sdn_entity; owner_of_export_controls_entity; owner_of_regulatory_action_entity; owner_of_sanctioned_aus_dfat_entity; owner_of_sanctioned_can_gac_entity; owner_of_sanctioned_che_seco_entity; owner_of_sanctioned_entity; owner_of_sanctioned_eu_dg_fisma_ec_entity; owner_of_sanctioned_eu_ec_regulation_833_2014_entity; owner_of_sanctioned_eu_ec_sanctions_map_entity; owner_of_sanctioned_eu_sanctions_entity; owner_of_sanctioned_fra_dgt_mefids_entity; owner_of_sanctioned_gbr_fcdo_entity; owner_of_sanctioned_jpn_mof_entity; owner_of_sanctioned_lva_fis_entity; owner_of_sanctioned_nzl_mfat_rus_entity; owner_of_sanctioned_ukr_nsdc_entity; owner_of_sanctioned_usa_ofac_non_sdn_entity; owner_of_sanctioned_usa_ofac_sdn_entity; owner_of_soe; owner_of_usa_bis_entity; pep_adjacent; psa_owned_by_entity_in_export_controls; psa_owned_by_regulatory_action_entity; psa_owned_by_sanctioned_entity; psa_owned_by_sanctioned_ukr_nsdc_entity; psa_owned_by_sanctioned_usa_ofac_sdn_entity; psa_owner_of_export_controls_entity; psa_owner_of_regulatory_action_entity; psa_owner_of_sanctioned_aus_dfat_entity; psa_owner_of_sanctioned_can_gac_entity; psa_owner_of_sanctioned_che_seco_entity; psa_owner_of_sanctioned_entity; psa_owner_of_sanctioned_eu_dg_fisma_ec_entity; psa_owner_of_sanctioned_eu_ec_regulation_833_2014_entity; psa_owner_of_sanctioned_eu_ec_sanctions_map_entity; psa_owner_of_sanctioned_eu_sanctions_entity; psa_owner_of_sanctioned_fra_dgt_mefids_entity; psa_owner_of_sanctioned_gbr_fcdo_entity; psa_owner_of_sanctioned_jpn_mof_entity; psa_owner_of_sanctioned_lva_fis_entity; psa_owner_of_sanctioned_nzl_mfat_rus_entity; psa_owner_of_sanctioned_ukr_nsdc_entity; psa_owner_of_sanctioned_usa_ofac_non_sdn_entity; psa_owner_of_sanctioned_usa_ofac_sdn_entity; psa_owner_of_soe; psa_owner_of_usa_bis_entity; regulatory_action; sanctioned; sanctioned_aus_dfat; sanctioned_can_gac; sanctioned_che_seco; sanctioned_eu_ec_sanctions_map; sanctioned_eu_sanctions; sanctioned_gbr_fcdo; sanctioned_gbr_hmt_ofsi; sanctioned_nzl_mfat_rus; sanctioned_other; sanctioned_ukr_nsdc; sanctioned_usa_ofac_non_sdn; sanctioned_usa_ofac_sdn; state_owned; usa_bis,37960,48,/v1/entity/uKGj1Dx23piV16B7oVDwoQ
RZAPsBRdYXTToVqy4ZuNow,Gazprom,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ""",company,UZB; USA; LVA; AZE; TKM; TUR; NLD; RUS; UKR; KAZ,True,False,basel_aml; controlled_by_aus_sanctioned; controlled_by_ofac_sdn; controlled_by_uk_sanctioned; controlled_by_ukr_sanctioned; cpi_score; eu_high_risk_third; export_controls; export_to_blr_soe; law_enforcement_action; meu_list_contractors; owned_by_entity_in_export_controls; owned_by_sanctioned_aus_dfat_entity; owned_by_sanctioned_can_gac_entity; owned_by_sanctioned_che_seco_entity; owned_by_sanctioned_entity; owned_by_sanctioned_eu_dg_fisma_ec_entity; owned_by_sanctioned_eu_ec_sanctions_map_entity; owned_by_sanctioned_eu_sanctions_entity; owned_by_sanctioned_fra_dgt_mefids_entity; owned_by_sanctioned_gbr_fcdo_entity; owned_by_sanctioned_jpn_mof_entity; owned_by_sanctioned_nzl_mfat_rus_entity; owned_by_sanctioned_ukr_nsdc_entity; owned_by_sanctioned_usa_ofac_sdn_entity; owner_of_blr_soe; owner_of_export_controls_entity; owner_of_regulatory_action_entity; owner_of_rus_soe; owner_of_sanctioned_aus_dfat_entity; owner_of_sanctioned_can_gac_entity; owner_of_sanctioned_che_seco_entity; owner_of_sanctioned_entity; owner_of_sanctioned_eu_dg_fisma_ec_entity; owner_of_sanctioned_eu_ec_regulation_833_2014_entity; owner_of_sanctioned_eu_ec_sanctions_map_entity; owner_of_sanctioned_eu_sanctions_entity; owner_of_sanctioned_fra_dgt_mefids_entity; owner_of_sanctioned_gbr_fcdo_entity; owner_of_sanctioned_gbr_hmt_ofsi_entity; owner_of_sanctioned_jpn_mof_entity; owner_of_sanctioned_lva_fis_entity; owner_of_sanctioned_nzl_mfat_rus_entity; owner_of_sanctioned_ukr_nsdc_entity; owner_of_sanctioned_usa_ofac_non_sdn_entity; owner_of_sanctioned_usa_ofac_sdn_entity; owner_of_soe; owner_of_usa_bis_entity; pep_adjacent; psa_export_to_blr_soe; psa_owned_by_entity_in_export_controls; psa_owned_by_sanctioned_aus_dfat_entity; psa_owned_by_sanctioned_can_gac_entity; psa_owned_by_sanctioned_che_seco_entity; psa_owned_by_sanctioned_entity; psa_owned_by_sanctioned_eu_dg_fisma_ec_entity; psa_owned_by_sanctioned_eu_ec_sanctions_map_entity; psa_owned_by_sanctioned_eu_sanctions_entity; psa_owned_by_sanctioned_fra_dgt_mefids_entity; psa_owned_by_sanctioned_gbr_fcdo_entity; psa_owned_by_sanctioned_jpn_mof_entity; psa_owned_by_sanctioned_nzl_mfat_rus_entity; psa_owned_by_sanctioned_ukr_nsdc_entity; psa_owned_by_sanctioned_usa_ofac_sdn_entity; psa_owner_of_blr_soe; psa_owner_of_export_controls_entity; psa_owner_of_regulatory_action_entity; psa_owner_of_rus_soe; psa_owner_of_sanctioned_aus_dfat_entity; psa_owner_of_sanctioned_can_gac_entity; psa_owner_of_sanctioned_che_seco_entity; psa_owner_of_sanctioned_entity; psa_owner_of_sanctioned_eu_dg_fisma_ec_entity; psa_owner_of_sanctioned_eu_ec_regulation_833_2014_entity; psa_owner_of_sanctioned_eu_ec_sanctions_map_entity; psa_owner_of_sanctioned_eu_sanctions_entity; psa_owner_of_sanctioned_fra_dgt_mefids_entity; psa_owner_of_sanctioned_gbr_fcdo_entity; psa_owner_of_sanctioned_gbr_hmt_ofsi_entity; psa_owner_of_sanctioned_jpn_mof_entity; psa_owner_of_sanctioned_lva_fis_entity; psa_owner_of_sanctioned_nzl_mfat_rus_entity; psa_owner_of_sanctioned_ukr_nsdc_entity; psa_owner_of_sanctioned_usa_ofac_non_sdn_entity; psa_owner_of_sanctioned_usa_ofac_sdn_entity; psa_owner_of_soe; psa_owner_of_usa_bis_entity; regulatory_action; reputational_risk_financial_crime; sanctioned; sanctioned_can_gac; sanctioned_other; sanctioned_usa_ofac_non_sdn; state_owned; usa_bis,14989,31,/v1/entity/RZAPsBRdYXTToVqy4ZuNow
xYCkQF4AB2p2YUI7EAL-YQ,National Iranian Oil Company,NATIONAL IRANIAN OIL COMPANY,company,IRN; GBR; SGP; ARE,True,False,basel_aml; controlled_by_aus_sanctioned; controlled_by_eu_sanctioned; controlled_by_jpn_sanctioned; controlled_by_ofac_sdgt_sanctioned; controlled_by_ofac_sdn; controlled_by_uk_sanctioned; controlled_by_un_sanctioned; cpi_score; eu_50_percent_rule; eu_high_risk_third; export_controls; export_controls_other; law_enforcement_action; ofac_50_percent_rule; ofac_sdgt_sanctioned; owned_by_entity_in_export_controls; owned_by_ofac_sdgt_sanctioned; owned_by_regulatory_action_entity; owned_by_sanctioned_che_seco_entity; owned_by_sanctioned_entity; owned_by_sanctioned_eu_dg_fisma_ec_entity; owned_by_sanctioned_eu_ec_sanctions_map_entity; owned_by_sanctioned_eu_sanctions_entity; owned_by_sanctioned_fra_dgt_mefids_entity; owned_by_sanctioned_gbr_fcdo_entity; owned_by_sanctioned_usa_ofac_sdn_entity; owner_of_export_controls_entity; owner_of_ofac_sdgt_sanctioned; owner_of_regulatory_action_entity; owner_of_sanctioned_aus_dfat_entity; owner_of_sanctioned_can_gac_entity; owner_of_sanctioned_che_seco_entity; owner_of_sanctioned_entity; owner_of_sanctioned_eu_dg_fisma_ec_entity; owner_of_sanctioned_eu_ec_regulation_833_2014_entity; owner_of_sanctioned_eu_ec_sanctions_map_entity; owner_of_sanctioned_eu_sanctions_entity; owner_of_sanctioned_fra_dgt_mefids_entity; owner_of_sanctioned_gbr_fcdo_entity; owner_of_sanctioned_jpn_mof_entity; owner_of_sanctioned_nzl_mfat_rus_entity; owner_of_sanctioned_ukr_nsdc_entity; owner_of_sanctioned_ukr_sfms_entity; owner_of_sanctioned_un_sc_entity; owner_of_sanctioned_usa_ofac_sdn_entity; owner_of_soe; pep_adjacent; psa_eu_50_percent_rule; psa_ofac_50_percent_rule; psa_owned_by_entity_in_export_controls; psa_owned_by_ofac_sdgt_sanctioned; psa_owned_by_regulatory_action_entity; psa_owned_by_sanctioned_che_seco_entity; psa_owned_by_sanctioned_entity; psa_owned_by_sanctioned_eu_dg_fisma_ec_entity; psa_owned_by_sanctioned_eu_ec_sanctions_map_entity; psa_owned_by_sanctioned_eu_sanctions_entity; psa_owned_by_sanctioned_fra_dgt_mefids_entity; psa_owned_by_sanctioned_gbr_fcdo_entity; psa_owned_by_sanctioned_usa_ofac_sdn_entity; psa_owner_of_export_controls_entity; psa_owner_of_ofac_sdgt_sanctioned; psa_owner_of_regulatory_action_entity; psa_owner_of_sanctioned_aus_dfat_entity; psa_owner_of_sanctioned_can_gac_entity; psa_owner_of_sanctioned_che_seco_entity; psa_owner_of_sanctioned_entity; psa_owner_of_sanctioned_eu_dg_fisma_ec_entity; psa_owner_of_sanctioned_eu_ec_regulation_833_2014_entity; psa_owner_of_sanctioned_eu_ec_sanctions_map_entity; psa_owner_of_sanctioned_eu_sanctions_entity; psa_owner_of_sanctioned_fra_dgt_mefids_entity; psa_owner_of_sanctioned_gbr_fcdo_entity; psa_owner_of_sanctioned_jpn_mof_entity; psa_owner_of_sanctioned_nzl_mfat_rus_entity; psa_owner_of_sanctioned_ukr_nsdc_entity; psa_owner_of_sanctioned_ukr_sfms_entity; psa_owner_of_sanctioned_un_sc_entity; psa_owner_of_sanctioned_usa_ofac_sdn_entity; psa_owner_of_soe; psa_uk_50_percent_rule; regulatory_action; reputational_risk_financial_crime; reputational_risk_other; sanctioned; sanctioned_che_seco; sanctioned_eu_dg_fisma_ec; sanctioned_eu_ec_sanctions_map; sanctioned_eu_sanctions; sanctioned_fra_dgt_mefids; sanctioned_gbr_fcdo; sanctioned_usa_ofac_sdn; state_owned; uk_50_percent_rule,183,20,/v1/entity/xYCkQF4AB2p2YUI7EAL-YQ
5n9BpqEMoMVQvMKBBKbk2g,Huawei Technologies Co. Ltd.,HUAWEI TECHNOLOGIES CO LTD,company,UZB; ARE; BEL; NLD; CHN; RUS; HKG; ECU; KAZ; CZE,False,False,basel_aml; cpi_score; export_controls; export_controls_other; law_enforcement_action; meu_list_contractors; sanctioned_adjacent; soe_adjacent; usa_bis,107632,66,/v1/entity/5n9BpqEMoMVQvMKBBKbk2g
SOvsvbXjFuEa1qzCitrfKg,ZTE Corporation,ZTE CORPORATION,company,USA; TUN; MEX; TWN; AUS; CHN; HKG; ECU; IND; CAN,True,False,basel_aml; chinese_soe_adjacent; cpi_score; esg_score_very_high; export_controls_adjacent; exports_bis_high_priority_items_critical_components_direct; exports_bis_high_priority_items_direct; forced_labor_aspi_origin_subtier_product_blueprint; forced_labor_xinjiang_origin_subtier_product_blueprint; law_enforcement_action; meu_list_contractors; ndaa_889_covered_entities; owned_by_chinese_soe; owned_by_cmic_entity; owned_by_entity_in_export_controls; owned_by_regulatory_action_entity; owned_by_sanctioned_entity; owned_by_sanctioned_usa_ofac_non_sdn_entity; owner_of_regulatory_action_entity; psa_export_to_soe; psa_exports_bis_high_priority_items_critical_components_direct; psa_exports_bis_high_priority_items_critical_components_indirect; psa_exports_bis_high_priority_items_direct; psa_owned_by_chinese_soe; psa_owned_by_cmic_entity; psa_owned_by_entity_in_export_controls; psa_owned_by_regulatory_action_entity; psa_owned_by_sanctioned_entity; psa_owned_by_sanctioned_usa_ofac_non_sdn_entity; psa_owner_of_regulatory_action_entity; regulatory_action; reputational_risk_bribery_and_corruption; reputational_risk_financial_crime; reputational_risk_other; sanctioned; sanctioned_other; soe_adjacent,93742,130,/v1/entity/SOvsvbXjFuEa1qzCitrfKg
CF2ca8pzwEMGmKrENIifNA,Hangzhou Hikvision Digital Technology Co. Ltd.,"Hangzhou Hikvision Digital Technology Co., Ltd.",company,USA; NLD; CHN; RUS; NZL,True,False,basel_aml; chinese_soe_adjacent; cmic_entity; cpi_score; esg_score_very_high; export_controls; law_enforcement_action; ndaa_889_covered_entities; owned_by_chinese_soe; owned_by_cmic_entity; owned_by_entity_in_export_controls; owned_by_regulatory_action_entity; owned_by_sanctioned_entity; owned_by_sanctioned_usa_ofac_non_sdn_entity; owned_by_soe; owned_by_usa_bis_entity; owned_by_usa_section_1260h_entity; owner_of_export_controls_entity; owner_of_forced_labor_xinjiang_entity; owner_of_soe; owner_of_usa_bis_entity; pep_adjacent; psa_owned_by_chinese_soe; psa_owned_by_cmic_entity; psa_owned_by_entity_in_export_controls; psa_owned_by_regulatory_action_entity; psa_owned_by_sanctioned_entity; psa_owned_by_sanctioned_usa_ofac_non_sdn_entity; psa_owned_by_soe; psa_owned_by_usa_bis_entity; psa_owned_by_usa_section_1260h_entity; psa_owner_of_export_controls_entity; psa_owner_of_forced_labor_xinjiang_entity; psa_owner_of_soe; psa_owner_of_usa_bis_entity; regulatory_action; sanctioned; sanctioned_other; sanctioned_usa_ofac_non_sdn; state_owned; usa_bis; usa_section_1260h,353,25,/v1/entity/CF2ca8pzwEMGmKrENIifNA
