input_row,input_name,matched,entity_id,matched_label,match_score,name_mismatch_flag,retry_name_used
2,Russian Direct Investment Fund,True,5fFhX0dMY2GliW0F5kOs4A,АКЦИОНЕРНОЕ ОБЩЕСТВО УПРАВЛЯЮЩАЯ КОМПАНИЯ РОССИЙСКОГО ФОНДА ПРЯМЫХ ИНВЕСТИЦИЙ,168.75677,False,
3,Sberbank,True,OWwtbp9y51OcLHJQakLaMw,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СБЕРБАНК РОССИИ""",,False,[pinned:OWwtbp9y51OcLHJQakLaMw]
4,VTB Bank,True,dy-rh2g0QtzUN_jC_e9S_A,БАНК ВТБ (ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО),,False,[pinned:dy-rh2g0QtzUN_jC_e9S_A]
5,Rostec,True,D-jLpScdAGFGgR4dtYnu_A,Rostec (Russian Technologies State Corporation),84.3105,False,
6,Rosneft,True,uKGj1Dx23piV16B7oVDwoQ,"ПАО ""НК ""РОСНЕФТЬ""",209.83795,False,
7,Gazprom,True,RZAPsBRdYXTToVqy4ZuNow,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГАЗПРОМ""",226.23885,False,
8,National Iranian Oil Company,True,xYCkQF4AB2p2YUI7EAL-YQ,NATIONAL IRANIAN OIL COMPANY,164.88306,False,
9,Huawei Technologies Co. Ltd.,True,5n9BpqEMoMVQvMKBBKbk2g,HUAWEI TECHNOLOGIES CO LTD,150.58875,False,
10,ZTE Corporation,True,SOvsvbXjFuEa1qzCitrfKg,ZTE CORPORATION,150.55478,False,
11,Hangzhou Hikvision Digital Technology Co. Ltd.,True,CF2ca8pzwEMGmKrENIifNA,"Hangzhou Hikvision Digital Technology Co., Ltd.",222.33392,False,
12,Venezuelan State-Owned Oil Company (PDVSA),True,tA9blnIZJ8CO-RnLHLYwqw,PETROLEOS DE VENEZUELA S A,125.56092,True,PDVSA
13,Syrian Arab Airlines,True,v6qt9ZlyXkJb5AHmURHh0g,Syrian Arab Airlines,200.30426,False,
14,Korea Mining Development Trading Corporation,True,743PV9hvik01AFVlWI-oTg,Korea Mining Development Trading Corporation,178.25583,False,
15,Cubametales,True,yPMqDvYBVDqz8q9iJmlqpA,EMPRESA CUBANA IMPORTADORA Y EXPORTADORA DE COMBUSTIBLES Y LUBRICANTES,101.89615,True,
16,Myanmar Economic Corporation,True,PNCfdPZenKKPQYzg0983yg,Myanmar  Economic  Holdings  Public  Company  Ltd,201.5734,False,
17,Myanmar Economic Holdings Limited,True,PNCfdPZenKKPQYzg0983yg,Myanmar  Economic  Holdings  Public  Company  Ltd,219.91411,False,
18,Belaruskali OAO,True,hBbGwsQXUAZVHl-EeRmfsQ,Sociedade por ações aberta “Belaruskali”,194.83334,False,
19,State Development Bank VEB.RF,True,0-dUKOZj1YJ8Hl48PMHjgA,"Государственная корпорация ""Банк развития и внешнеэкономической деятельности (Внешэкономбанк)""",145.44682,False,Vnesheconombank
20,Promsvyazbank,True,xH8jHy73cLhkzYVQpFDvUQ,PROMSVYAZBANK,194.32297,False,
21,Alfa-Bank,True,w_HwwyFYfw8OVwST7AoSUw,Alfa-Bank JSC,198.7045,False,
22,Belnauchcompositit,False,,,,False,
23,Belorusskaya Kaliynaya Companya,True,BSsUPVlxsICOW4GCjb4fqQ,Avoin osakeyhtiö ”Belarusian Potash Company”,215.24669,False,Belarusian Potash Company
24,Belneftegaz,True,kdOb4CZZrQ-yJpITOfuP0A,Additional Liability Company Belneftegaz,140.18648,False,
25,Bank Rossiya,True,IqT-ciRIQc9XuMllE0Acpw,Bank Rossiya,195.35901,False,
26,Novikombank,True,E_NabEdOK7AokStLfvF1rQ,Акционерный Коммерческий Банк Новикомбанк акционерное общество,176.73715,False,
27,Sovcombank,True,GGHASgIP4hQ3e180IDb8Qw,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""СОВКОМБАНК""",212.38048,False,
28,Bank Otkritie,True,fcyGF6c60wnDy29rB3IWiQ,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО БАНК ""ФИНАНСОВАЯ КОРПОРАЦИЯ ОТКРЫТИЕ""",174.72418,False,
29,Transneft,True,9-IuyJoA08bELHrSY3mXXA,"ПУБЛИЧНОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""ТРАНСНЕФТЬ""",,False,[pinned:9-IuyJoA08bELHrSY3mXXA]
30,Russian Railways,True,RqBOnCZOD5pWG-tCf8wr8A,"ОТКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""РОССИЙСКИЕ ЖЕЛЕЗНЫЕ ДОРОГИ""",173.69012,False,
