input_row,input_name,entity_id,match_label,match_score,name_mismatch_flag,retry_name_used,country
2,Bosch,Zaah0eFCojEexrqj9io8hw,PT. ROBERT BOSCH,117.14181,,,DEU
3,Denso,eV8qxU_um7RC49wlFwmhnA,DENSO CORPORATION,156.51459,,,JPN
4,ZF Friedrichshafen,0jJrkmZO892Ic6Um6CCxqQ,ZF FRIEDRICHSHAFEN AG,150.79153,,,DEU
5,Magna International,QWWXD2cM24-_lZXVlr-w3A,MAGNA INTERNATIONAL INC.,184.5873,,,CAN
6,Aisin,wJr4XYZgeHiTDN6l-hqKqQ,AISIN CORPORATION,141.49039,,,JPN
7,Continental,IRelLN5vzraC-u7R9ZaYyQ,CONTINENTAL AG,144.77054,,,DEU
8,Hyundai Mobis,QKJjDK2j4C_xjstqLZbQ6Q,HYUNDAI MOBIS,191.60608,,,KOR
9,Lear,,,,,,USA
10,Faurecia,Xrmmm_N5jUWd9q5m1IYEcg,Forvia SE,157.04892,,,FRA
11,Valeo,2j6mxlCk_CJutk7kq6YFcw,Valeo S.A.,161.74597,,,FRA
12,Aptiv,FOdC9gVswGIgT92VPvZY3A,"APTIV SERVICES US,LLC",143.22693,,,USA
13,Yazaki,LAtrDml3ulKGjNIIFGSNAg,YAZAKI CORPORATION,141.44725,,,JPN
14,Panasonic Automotive,k_LPUynmSl-Ku7kaMCNKrw,PANASONIC AUTOMOTIVE SYSTEMS AMERICA LLC,150.83673,,,JPN
15,Sumitomo Electric,xZdRzNJRqk81LHRym248ZA,SUMITOMO ELECTRIC INDUSTRIES LTD/ADR/,204.64098,,,JPN
16,BASF,YYduGnnDHeKJiCm9mn0Jew,BASF SE,150.5747,,,DEU
17,Mahle,UAxRxWgh2i_-jbGE-MzNcA,MAHLE GMBH,161.97806,,,DEU
18,Schaeffler,Zut-uEpYFcwtVTb0jYb-Sg,Schaeffler AG,165.928,,,DEU
19,Yanfeng,VDSgxFjxYKeBL_exLzruRw,王彦峰,91.13947,,,CHN
20,Adient,jNnO2Ego-RC6kW0e5h6uBg,Adient plc,148.57928,,,USA
21,ThyssenKrupp Automotive,ssC1Ovg6xFHpom8T3jS7vA,"THYSSENKRUPP AUTOMOTIVE SYSTEMS OF AMERICA, LLC",157.08868,,,DEU
22,Gestamp,yKfh201iXT77Et5E-xXvVA,"GESTAMP HOLDING ARGENTINA, S.L.",140.87468,,,ESP
23,Tenneco,S5rJs4KGxmk6-olqZuTTWw,SYSTEMS PROTECTION GROUP US LLC,145.30774,1,,USA
24,Cummins,0xhSL7Hc8xwycWWv9DobNw,CUMMINS SOUTHERN PLAINS LLC,144.94655,,,USA
25,Plastic Omnium,9jd2-RAqJveuAFTIitSmbA,SMRC AUTOMOTIVE MODULES FRANCE SAS,120.838135,1,,FRA
26,Benteler Automotive,tHDXZLbsAjBm0OkAy72NRQ,本特勒投资（中国）有限公司,119.192444,,,DEU
27,Brose,X-H0PYYHxkw9_q4gZKG7nA,BROSE QUERETARO SA DE CV,129.45587,,,DEU
28,JTEKT,jAytS5--KS3lm3I2whrWtQ,JTEKT CORPORATION,105.9121,,,JPN
29,Flex-N-Gate,fYE_gZNUGmlf3aGLuzpfHw,FLEX N GATE TEXAS LLC,125.85385,1,,USA
30,Nemak,l5pSi--fXqgm5N8s4bxv8g,NEMAK MEXICO SA,166.28366,,,MEX
31,Infineon Technologies,7wHV28d3Du8AJ11DaJfGig,INFINEON TECHNOLOGIES AG,195.02487,,,DEU
32,Dana,,,,,,USA
33,Hyundai Wia,o9X2EBZaQ95AqbgpiRq24Q,HYUNDAI WIA CORPORATION,205.72485,,,KOR
34,NTN,jBqUJXlVjOrQq_tZ-cFdGg,ＮＴＮ株式会社,147.83698,,,JPN
35,Hitachi Astemo,kQW0LFJUgiWbeKuv0AcVaQ,"HITACHI ASTEMO, LTD.",182.91605,,,JPN
36,Draexlmaier,kWOjhkC6RNeVjdlQC73LFw,DAA DRAEXLMAIER AUTOMOTIVE OF AMERICA LLC,140.49478,,,DEU
37,Marelli,nFB3WLVy79d74jONFEWSGg,CALSONIC KANSEI MEXICANA SA DE CV,107.59192,1,,JPN
38,Grupo Antolin,1xCmCLVYV2NWHa7hiVtTNA,GRUPO ANTOLIN INGENIERIA SA,198.49284,,,ESP
39,BorgWarner,qAt866Paw2xBpRuhXTdhZQ,BORGWARNER PDS IRAPUATO S DE RL DE CV,170.85553,,,USA
40,HELLA,ZY4IINalx7sgl94i5icLSQ,HELLA ROMANIA S.R.L.,123.10928,,,DEU
41,Samvardhana Motherson,RLHRkvyd5O8Fm3XUOZX2gg,SAMVARDHANA MOTHERSON ADSYS TECH LIMITED,209.21736,,,IND
42,Webasto,DDtzsftayzGFurdnmE720A,Webasto Mechatronics GmbH,132.64114,,,DEU
43,Toyoda Gosei,1EUd63d83C4kfbkoO8e77w,"TOYODA GOSEI CO.,LTD",201.77454,,,JPN
44,DuPont,CsjkkNlITOSoL4lS4NgM_A,DUPONT CAPITAL MANAGEMENT CORP,145.73804,,,USA
45,GKN Automotive,gqq46JF5wE3C9p1bP-TGGw,GKN DRIVELINE CELAYA SA DE CV,129.65271,,,GBR
46,Eberspächer,P7LDrX-s3CcJDxa-JrDLTA,Eberspächer Insurance Services GmbH,185.79971,,,DEU
47,Visteon,FpVm2HsNjl864tQHM-6vyA,VISTEON CORP,169.86961,,,USA
48,Meritor,60ADOmPsqP_ouLbtcVxytA,MERITOR AUTOMOTIVE INC,148.5832,,,USA
49,NSK,R-Ks8pA4FlxrErQ4hGS40w,NSK LTD.,149.06929,,,JPN
50,American Axle & Manufacturing,cAmnI92Pnaemjk7pVLfysw,AMERICAN AXLE & MANUFACTURING INC,191.72331,,,USA
51,Mando,7j08soVAdChRf6ah-OZmsw,Mando Corporation,88.64897,,,KOR
